iter	Passed	Remaining
0	85	85458
1	86	43079
2	86	28871
3	87	21843
4	90	17935
5	92	15319
6	94	13390
7	97	12099
8	101	11170
9	104	10343
10	106	9613
11	109	9026
12	111	8484
13	113	8009
14	115	7575
15	117	7197
16	119	6895
17	120	6549
18	120	6226
19	121	5958
20	122	5732
21	124	5519
22	125	5330
23	126	5149
24	127	4979
25	128	4828
26	130	4708
27	132	4583
28	133	4458
29	134	4337
30	135	4224
31	136	4116
32	137	4017
33	137	3914
34	138	3815
35	139	3727
36	139	3641
37	140	3560
38	141	3482
39	141	3407
40	142	3334
41	143	3268
42	144	3205
43	144	3142
44	145	3081
45	145	3021
46	146	2968
47	146	2914
48	147	2862
49	148	2812
50	148	2763
51	148	2715
52	149	2669
53	149	2625
54	150	2581
55	150	2540
56	151	2502
57	151	2467
58	152	2430
59	152	2394
60	153	2360
61	153	2326
62	154	2297
63	154	2266
64	155	2237
65	156	2208
66	156	2180
67	157	2152
68	157	2124
69	157	2097
70	158	2072
71	159	2050
72	159	2026
73	160	2002
74	160	1979
75	160	1956
76	161	1935
77	162	1914
78	162	1894
79	162	1874
80	163	1854
81	163	1835
82	164	1813
83	164	1794
84	165	1776
85	165	1758
86	165	1741
87	166	1726
88	167	1710
89	167	1694
90	167	1677
91	168	1663
92	169	1648
93	169	1636
94	170	1622
95	170	1608
96	171	1594
97	171	1580
98	172	1566
99	172	1554
100	173	1541
101	173	1529
102	174	1518
103	174	1506
104	175	1494
105	176	1484
106	176	1473
107	177	1463
108	177	1452
109	178	1441
110	178	1430
111	179	1420
112	179	1409
113	179	1398
114	180	1388
115	180	1378
116	181	1368
117	181	1360
118	182	1350
119	182	1341
120	183	1332
121	183	1323
122	184	1314
123	184	1306
124	185	1297
125	185	1289
126	186	1280
127	186	1272
128	187	1264
129	187	1255
130	188	1247
131	188	1239
132	189	1232
133	189	1225
134	190	1218
135	190	1211
136	191	1204
137	191	1196
138	192	1189
139	192	1183
140	193	1176
141	193	1168
142	193	1162
143	194	1155
144	194	1149
145	195	1142
146	195	1136
147	196	1131
148	197	1125
149	197	1119
150	198	1113
151	198	1107
152	199	1101
153	199	1096
154	200	1091
155	200	1085
156	201	1080
157	201	1074
158	202	1069
159	202	1063
160	202	1057
161	203	1051
162	203	1046
163	204	1042
164	205	1037
165	205	1032
166	206	1027
167	206	1022
168	207	1018
169	207	1013
170	208	1009
171	208	1004
172	209	999
173	209	994
174	210	990
175	210	985
176	211	981
177	211	977
178	212	973
179	212	969
180	213	965
181	213	961
182	214	957
183	215	954
184	215	950
185	216	946
186	216	943
187	217	939
188	217	935
189	218	931
190	219	927
191	219	924
192	220	920
193	220	916
194	221	912
195	221	908
196	222	905
197	222	901
198	223	898
199	223	894
200	224	890
201	224	886
202	224	883
203	225	879
204	225	875
205	226	872
206	226	869
207	227	866
208	227	862
209	228	859
210	228	855
211	229	852
212	229	848
213	230	845
214	230	842
215	231	839
216	231	835
217	232	832
218	232	829
219	232	825
220	233	822
221	233	819
222	234	816
223	234	813
224	235	810
225	235	807
226	236	804
227	236	801
228	237	798
229	237	795
230	238	792
231	238	789
232	239	786
233	239	783
234	239	780
235	240	777
236	240	774
237	241	771
238	241	769
239	242	766
240	242	763
241	242	760
242	243	758
243	243	755
244	244	753
245	245	751
246	245	748
247	245	745
248	246	742
249	246	740
250	247	737
251	247	734
252	248	732
253	248	729
254	248	727
255	249	725
256	250	722
257	250	720
258	250	717
259	251	715
260	251	712
261	252	710
262	252	707
263	252	705
264	253	702
265	253	700
266	254	698
267	254	695
268	255	693
269	255	691
270	256	689
271	256	687
272	257	685
273	257	682
274	258	680
275	258	678
276	259	676
277	259	674
278	259	671
279	260	669
280	260	667
281	261	665
282	261	663
283	262	661
284	262	659
285	263	657
286	263	655
287	264	652
288	264	650
289	265	649
290	265	647
291	266	645
292	266	643
293	267	641
294	267	639
295	268	637
296	268	636
297	269	634
298	269	632
299	270	630
300	270	628
301	271	626
302	271	624
303	272	622
304	272	621
305	273	619
306	273	618
307	274	616
308	274	614
309	275	613
310	276	611
311	276	609
312	276	607
313	277	606
314	277	604
315	278	602
316	278	600
317	279	598
318	279	596
319	280	595
320	280	593
321	281	592
322	281	590
323	282	589
324	282	587
325	283	586
326	284	584
327	284	582
328	284	581
329	285	579
330	285	577
331	286	575
332	286	574
333	287	572
334	287	570
335	288	569
336	288	567
337	289	566
338	289	564
339	289	562
340	290	561
341	290	559
342	291	557
343	291	556
344	292	554
345	292	553
346	293	551
347	293	549
348	293	548
349	294	546
350	294	544
351	295	543
352	295	541
353	296	540
354	296	539
355	297	537
356	297	536
357	298	535
358	298	533
359	299	532
360	299	530
361	300	529
362	300	527
363	301	526
364	301	524
365	302	523
366	302	521
367	303	520
368	303	519
369	304	517
370	304	516
371	305	515
372	305	513
373	306	512
374	306	511
375	307	509
376	307	508
377	308	506
378	308	505
379	308	504
380	309	502
381	309	501
382	310	500
383	311	498
384	311	497
385	312	496
386	312	495
387	313	493
388	313	492
389	314	491
390	314	489
391	315	488
392	315	487
393	315	485
394	316	484
395	316	483
396	317	482
397	317	480
398	318	479
399	318	478
400	319	477
401	319	475
402	320	474
403	320	473
404	321	472
405	321	471
406	322	469
407	322	468
408	323	467
409	323	465
410	324	464
411	324	463
412	324	461
413	325	460
414	325	459
415	326	458
416	326	457
417	327	455
418	327	454
419	328	453
420	328	452
421	329	451
422	329	449
423	330	448
424	330	447
425	331	446
426	331	444
427	331	443
428	332	442
429	332	441
430	333	440
431	333	439
432	334	438
433	335	437
434	335	435
435	336	434
436	336	433
437	337	432
438	337	431
439	338	430
440	338	428
441	338	427
442	339	426
443	339	425
444	340	424
445	340	423
446	341	422
447	341	421
448	342	419
449	342	418
450	343	417
451	343	416
452	344	415
453	344	414
454	344	413
455	345	411
456	345	410
457	346	409
458	346	408
459	347	407
460	347	406
461	347	405
462	348	404
463	349	403
464	349	402
465	349	400
466	350	399
467	350	398
468	351	397
469	351	396
470	352	395
471	352	394
472	352	393
473	353	392
474	353	391
475	354	389
476	354	388
477	355	387
478	355	386
479	356	385
480	356	384
481	357	383
482	357	382
483	358	381
484	358	380
485	359	379
486	359	378
487	360	377
488	360	376
489	361	375
490	361	374
491	362	373
492	362	372
493	362	371
494	363	370
495	364	369
496	364	368
497	365	368
498	365	367
499	366	366
500	366	365
501	367	364
502	367	363
503	368	362
504	368	361
505	369	360
506	369	359
507	369	358
508	370	357
509	370	356
510	371	355
511	371	354
512	372	353
513	373	352
514	373	351
515	374	350
516	374	349
517	374	348
518	375	347
519	375	346
520	376	345
521	376	344
522	377	343
523	377	342
524	377	341
525	378	340
526	378	339
527	379	339
528	379	338
529	380	337
530	380	336
531	381	335
532	381	334
533	382	333
534	382	332
535	383	331
536	383	330
537	383	329
538	384	328
539	384	327
540	385	326
541	385	325
542	386	325
543	386	324
544	387	323
545	387	322
546	388	321
547	388	320
548	389	319
549	389	318
550	390	317
551	390	316
552	390	316
553	391	315
554	391	314
555	392	313
556	392	312
557	393	311
558	393	310
559	394	309
560	394	308
561	395	307
562	395	307
563	396	306
564	396	305
565	397	304
566	397	303
567	397	302
568	398	301
569	398	300
570	399	299
571	399	299
572	400	298
573	400	297
574	400	296
575	401	295
576	401	294
577	402	293
578	402	292
579	403	292
580	403	291
581	404	290
582	404	289
583	404	288
584	405	287
585	405	286
586	406	285
587	406	284
588	407	284
589	407	283
590	407	282
591	408	281
592	408	280
593	409	279
594	410	279
595	410	278
596	411	277
597	412	276
598	412	276
599	413	275
600	413	274
601	413	273
602	414	272
603	414	271
604	415	271
605	415	270
606	416	269
607	416	268
608	417	267
609	417	267
610	418	266
611	418	265
612	419	264
613	419	263
614	419	262
615	420	262
616	420	261
617	421	260
618	421	259
619	422	258
620	422	257
621	423	257
622	423	256
623	423	255
624	424	254
625	424	253
626	425	253
627	425	252
628	426	251
629	426	250
630	427	249
631	427	248
632	427	248
633	428	247
634	428	246
635	429	245
636	429	244
637	430	244
638	430	243
639	430	242
640	431	241
641	431	240
642	432	240
643	432	239
644	433	238
645	433	237
646	434	236
647	434	236
648	435	235
649	435	234
650	436	233
651	436	233
652	437	232
653	437	231
654	438	230
655	438	229
656	438	229
657	439	228
658	439	227
659	440	226
660	440	226
661	441	225
662	441	224
663	442	223
664	442	222
665	442	222
666	443	221
667	443	220
668	444	219
669	444	219
670	445	218
671	445	217
672	445	216
673	446	215
674	446	215
675	447	214
676	447	213
677	448	212
678	448	212
679	449	211
680	449	210
681	450	209
682	450	209
683	451	208
684	451	207
685	451	206
686	452	206
687	452	205
688	453	204
689	453	203
690	453	203
691	454	202
692	454	201
693	455	200
694	455	200
695	456	199
696	456	198
697	457	197
698	457	196
699	457	196
700	458	195
701	458	194
702	459	193
703	459	193
704	459	192
705	460	191
706	460	191
707	461	190
708	461	189
709	462	188
710	462	188
711	463	187
712	463	186
713	464	186
714	464	185
